,city,lat,lng
773,Beur,25.569,85.0944
774,Sahit,25.5888,85.7948
775,Bommayapalaiyam,11.9922,79.8499
776,Perumbakkam,12.9055,80.1993
777,Dayalpur Sapha,25.7122,85.3188
778,Manappakkam,13.0108,80.1686
779,Nalambur,13.0867,80.1703
780,Narhan,25.6941,86.0074
781,Jamira,25.5535,84.7063
782,Vengavasal,12.8991,80.169
783,Janai,22.7157,88.2426
784,Tamarakulam,8.1325,77.4848
785,Daharia,25.5307,87.5947
786,Gopalpur,26.1317,84.3594
787,Kotwapatti Rampur,25.7153,84.8063
788,Kiratpur Rajaram,25.856,85.285
789,Barwat Pasrain,26.7925,84.5469
790,Bahagalpur,24.5934,87.9536
791,Muragacha,22.69,88.42
792,Bela,25.8103,85.0157
793,Ottaikkalmantapam,10.8827,76.9943
